file,class,method,variable,usage
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"replaceMethodUsage/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.nodes.MethodNode]",sourceMth,3
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"replaceMethodUsage/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.nodes.MethodNode]",mergeIntoMth,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"replaceMethodUsage/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.nodes.MethodNode]",mergedUsage,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",usageInfo,7
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",interfaceType,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",methodNode,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",genericTypeParameter,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",fieldNode,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",cls,10
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethodAnnotations/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",mth,3
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethodAnnotations/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",usageInfo,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethodAnnotations/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",paramsAttr,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethodAnnotations/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",annAttr,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,buildUsageData/1[jadx.core.dex.nodes.RootNode],usageInfo,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,buildUsageData/1[jadx.core.dex.nodes.RootNode],root,2
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,buildUsageData/1[jadx.core.dex.nodes.RootNode],cls,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processAnnotationAttr/3[jadx.core.dex.visitors.usage.ICodeNode,jadx.core.dex.visitors.usage.AnnotationsAttr,jadx.core.dex.visitors.usage.UsageInfo]",usageInfo,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processAnnotationAttr/3[jadx.core.dex.visitors.usage.ICodeNode,jadx.core.dex.visitors.usage.AnnotationsAttr,jadx.core.dex.visitors.usage.UsageInfo]",ann,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processAnnotationAttr/3[jadx.core.dex.visitors.usage.ICodeNode,jadx.core.dex.visitors.usage.AnnotationsAttr,jadx.core.dex.visitors.usage.UsageInfo]",node,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processAnnotationAttr/3[jadx.core.dex.visitors.usage.ICodeNode,jadx.core.dex.visitors.usage.AnnotationsAttr,jadx.core.dex.visitors.usage.UsageInfo]",annAttr,3
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethod/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",mth,7
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethod/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",usageInfo,4
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethod/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",e,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethod/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",argType,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processAnnotations/2[jadx.core.dex.visitors.usage.ICodeNode,jadx.core.dex.visitors.usage.UsageInfo]",usageInfo,1
C:\Users\All Five Projects\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processAnnotations/2[jadx.core.dex.visitors.usage.ICodeNode,jadx.core.dex.visitors.usage.UsageInfo]",node,2
